#name	value
ENSRNOT00000072616	Dedd2
ENSRNOT00000071251	Zfp526
ENSRNOT00000027677	Gsk3a
ENSRNOT00000027684	Erf
ENSRNOT00000057466	Cic
ENSRNOT00000027774	Pafah1b3
ENSRNOT00000068251	Prr19
ENSRNOT00000027783	Tmem145
ENSRNOT00000027831	Megf8
ENSRNOT00000027845	Cnfn
ENSRNOT00000027910	Lipe
ENSRNOT00000027854	4732471J01Rik
ENSRNOT00000057433	Cxcl17
ENSRNOT00000051892	Ceacam1
ENSRNOT00000029487	Ceacam1
ENSRNOT00000027933	Ceacam1
ENSRNOT00000031326	Gm7092
ENSRNOT00000027960	Atp5sl
ENSRNOT00000027964	B3gnt8
ENSRNOT00000027995	Bckdha
ENSRNOT00000028026	Exosc5
ENSRNOT00000038300	Tmem91
ENSRNOT00000028029	B9d2
ENSRNOT00000028051	Tgfb1
ENSRNOT00000028065	Ccdc97
ENSRNOT00000028100	Hnrnpul1
ENSRNOT00000028131	Axl
ENSRNOT00000028132	Axl
ENSRNOT00000028177	Cyp2s1
ENSRNOT00000049588	CYP2S1
ENSRNOT00000035648	RGD1565655
ENSRNOT00000072555	RGD1565655
ENSRNOT00000075546	RGD1565655
ENSRNOT00000051619	Cd177
ENSRNOT00000057384	Ceacam10
ENSRNOT00000047540	Cyp2b2
ENSRNOT00000028196	Cyp2b2
ENSRNOT00000034845	Cyp2b3
ENSRNOT00000049175	Cyp2b21
ENSRNOT00000041580	Cyp2b12
ENSRNOT00000028261	Cyp2g1
ENSRNOT00000028231	Cyp2a3
ENSRNOT00000028237	Cyp2a1
